Sub_region	Depth_sizefrac	ERR_count	ERR_list	Assembly_group
SPO-SPSG	SRF-180-2000.00	27	ERR1726541, ERR1726543, ERR1726561, ERR1726586, ERR1726593, ERR1726600, ERR1726608, ERR1726620, ERR1726624, ERR1726657, ERR1726664, ERR1726685, ERR1726694, ERR1726716, ERR1726739, ERR1726741, ERR1726745, ERR1726763, ERR1726765, ERR1726770, ERR1726775, ERR1726883, ERR1726891, ERR1726909, ERR1726916, ERR1726931, ERR1726946	SPO-SPSG-SRF-180-2000.00
SPO-SPSG	DCM-180-2000.00	12	ERR1726550, ERR1726552, ERR1726604, ERR1726623, ERR1726698, ERR1726778, ERR1726806, ERR1726826, ERR1726880, ERR1726882, ERR1726900, ERR1726922	SPO-SPSG-DCM-180-2000.00
SPO-SPSG	SRF-0.8-5.00	33	ERR1726556, ERR1726564, ERR1726567, ERR1726569, ERR1726602, ERR1726634, ERR1726643, ERR1726656, ERR1726667, ERR1726714, ERR1726725, ERR1726762, ERR1726846, ERR1726907, ERR1726913, ERR868352, ERR868363, ERR868382, ERR868404, ERR868405, ERR868436, ERR868442, ERR868444, ERR868447, ERR868466, ERR868469, ERR868475, ERR868476, ERR868489, ERR868493, ERR868499, ERR868501, ERR868513	SPO-SPSG-SRF-0.8-5.00
SPO-PEOD	DCM-5-20.00	2	ERR1726562, ERR1726742	SPO-PEOD-DCM-5-20.00
SPO-CHIL	DCM-180-2000.00	2	ERR1726566, ERR1726627	SPO-CHIL-DCM-180-2000.00
SPO-PEOD	SRF-20-180.00	2	ERR1726577, ERR1726709	SPO-PEOD-SRF-20-180.00
SPO-PEOD	SRF-5-20.00	2	ERR1726594, ERR1726841	SPO-PEOD-SRF-5-20.00
SPO-SPSG	DCM-20-180.00	7	ERR1726603, ERR1726606, ERR1726655, ERR1726690, ERR1726700, ERR1726710, ERR1726977	SPO-SPSG-DCM-20-180.00
SPO-PEOD	SRF-0.8-5.00	4	ERR1726628, ERR1726851, ERR868357, ERR868462	SPO-PEOD-SRF-0.8-5.00
SPO-CHIL	SRF-5-20.00	3	ERR1726632, ERR1726713, ERR1726878	SPO-CHIL-SRF-5-20.00
SPO-CHIL	SRF-0.8-5.00	6	ERR1726645, ERR1726719, ERR1726749, ERR868413, ERR868416, ERR868502	SPO-CHIL-SRF-0.8-5.00
SPO-PEOD	DCM-20-180.00	2	ERR1726659, ERR1726727	SPO-PEOD-DCM-20-180.00
SPO-PEOD	SRF-180-2000.00	2	ERR1726705, ERR1726795	SPO-PEOD-SRF-180-2000.00
SPO-CHIL	SRF-180-2000.00	4	ERR1726740, ERR1726790, ERR1726876, ERR1726895	SPO-CHIL-SRF-180-2000.00
SPO-CHIL	DCM-20-180.00	1	ERR1726830	SPO-CHIL-DCM-20-180.00
SPO-PEOD	DCM-0.8-5.00	5	ERR1726842, ERR1726858, ERR868422, ERR868440, ERR868458	SPO-PEOD-DCM-0.8-5.00
SPO-CHIL	DCM-0.8-5.00	2	ERR868358, ERR868505	SPO-CHIL-DCM-0.8-5.00
SPO-SPSG	MIX-0.8-5.00	7	ERR868359, ERR868360, ERR868371, ERR868426, ERR868481, ERR868491, ERR868494	SPO-SPSG-MIX-0.8-5.00
SPO-PEOD	MES-0.8-5.00	1	ERR868362	SPO-PEOD-MES-0.8-5.00
SPO-SPSG	MES-0.8-5.00	7	ERR868365, ERR868379, ERR868417, ERR868443, ERR873959, ERR873963, ERR873968	SPO-SPSG-MES-0.8-5.00
SPO-CHIL	MES-0.8-5.00	1	ERR868377	SPO-CHIL-MES-0.8-5.00
